Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,C1,c_1,C2,c_2,C3,c_3,Cabin
1,2,female,27,1,0,13.8583,C,6,50,5,56,2,43,F
0,1,male,31,0,0,50.4958,S,0,24,5,56,2,43,@
0,3,male,29,0,0,9.5,S,6,50,5,56,2,43,F
1,3,male,4,1,1,11.1333,S,6,50,5,56,2,43,F
0,3,male,26,0,0,7.8958,S,6,50,5,56,2,43,F
1,1,female,47,1,1,52.5542,S,3,35,5,56,2,43,C
0,1,male,33,0,0,5,S,1,51,0,53,0,55,A
0,3,male,47,0,0,9,S,6,50,5,56,2,43,F
1,2,female,28,1,0,24,C,6,50,5,56,2,43,F
1,3,female,15,0,0,7.225,C,6,50,5,56,2,43,F
0,3,male,20,0,0,9.8458,S,6,50,5,56,2,43,F
0,3,male,19,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
1,1,female,56,0,1,83.1583,C,2,50,5,56,2,43,B
1,2,female,25,0,1,26,S,6,50,5,56,2,43,F
0,3,male,33,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,female,22,0,0,10.5167,S,6,50,5,56,2,43,F
0,2,male,28,0,0,10.5,S,6,50,5,56,2,43,F
0,3,male,25,0,0,7.05,S,6,50,5,56,2,43,F
0,3,female,39,0,5,29.125,Q,6,50,5,56,2,43,F
0,2,male,27,0,0,13,S,6,50,5,56,2,43,F
1,1,female,19,0,0,30,S,1,42,5,56,2,43,A
0,3,female,29,1,2,23.45,S,6,50,5,56,2,43,F
1,1,male,26,0,0,30,C,2,148,5,56,2,43,B
0,3,male,32,0,0,7.75,Q,6,50,5,56,2,43,F
